original_sentence,changed_sentence
"Цю прогалину , життєпис відомого колись на всю округу фотографа , заповнив краєзнавець і тележурналіст Василь Нагірний .","Цю прогалину , життєпис відомої колись на всю округу фотографки , заповнила краєзнавиця і тележурналістка Олександра Нагірна ."
"« Такі змагання проводяться в Чернівцях вперше » , – розповів голова Чернівецького осередку бойового гопака Іван Підгорський .","« Такі змагання проводяться в Чернівцях вперше » , – розповіла голова Чернівецького осередку бойового гопака Валентина Підгорська ."
"Як розповів голова Хмельницької обласної федерації бойового гопака Іван Куць , окрім фізичного виховання , учні школи бойового гопака отримують ще й духовне виховання .","Як розповіла голова Хмельницької обласної федерації бойового гопака Оксана Куць , окрім фізичного виховання , учні школи бойового гопака отримують ще й духовне виховання ."
"Як стверджують тренери , це традиція українського народу .","Як стверджують тренерки , це традиція українського народу ."
"Трансформаційні процеси у районній пресі зазначеного періоду , на наш погляд , набули незворотного характеру лише навесні 1990-го , після виборів до місцевих рад народних депутатів 4 березня .","Трансформаційні процеси у районній пресі зазначеного періоду , на наш погляд , набули незворотного характеру лише навесні 1990-го , після виборів до місцевих рад народних депутаток 4 березня ."
"Натомість у вихідних даних на останній сторінці дрібним шрифтом зазначається , що видавцями газети є районна рада та районна партійна організація ( без вказівки якої саме партії ) .","Натомість у вихідних даних на останній сторінці дрібним шрифтом зазначається , що видавчинями газети є районна рада та районна партійна організація ( без вказівки якої саме партії ) ."
"В наших умовах у таких « рольових коконах » продовжували дефілювати партійні ортодокси , лектори ЦК Компартії , які своєю поведінкою дуже нагадували героя Кіфера Сазерленда ( чи то герой « Меланхолії » через двадцять п’ять років наслідує їх ?.. ) , та ще офіцери КҐБ , які єдині тоді мусили бути щасливі , бо їм додалося праці : в кінці травня один такий приходив вербувати й мене ( цей сюжет я потім використала для схожого епізоду в біографії Дарини в « Музеї покинутих секретів » ) , і ми з ним близько трьох годин мужньо блукали вулицями « на свіжому повітрі » , дивуючи нечастих перехожих ( він , правда , запропонував піти до ресторану – на той час гуляти « на свіжому повітрі » вже не рекомендувалося цілком офіційно , – але на це я згодитись не могла : ресторан – то вже , як не крути , « початок угоди » , після якого відмовлятися від « співпраці » було б набагато складніше , і наковтатися трохи зайвих мікрорентґенів – яка вже різниця , кількома більше чи кількома менше ? – було однозначно привабливішою опцією ) .","В наших умовах у таких « рольових коконах » продовжували дефілювати партійні ортодокси , лекторки ЦК Компартії , які своєю поведінкою дуже нагадували героїню Кіри Сазерленд ( чи то героїня « Меланхолії » через двадцять п’ять років наслідує їх ?.. ) , та ще офіцери КҐБ , які єдині тоді мусили бути щасливі , бо їм додалося праці : в кінці травня один такий приходив вербувати й мене ( цей сюжет я потім використала для схожого епізоду в біографії Віктора в « Музеї покинутих секретів » ) , і ми з ним близько трьох годин мужньо блукали вулицями « на свіжому повітрі » , дивуючи нечастих перехожих ( він , правда , запропонувала піти до ресторану – на той час гуляти « на свіжому повітрі » вже не рекомендувалося цілком офіційно , – але на це я згодитись не могла : ресторан – то вже , як не крути , « початок угоди » , після якого відмовлятися від « співпраці » було б набагато складніше , і наковтатися трохи зайвих мікрорентґенів – яка вже різниця , кількома більше чи кількома менше ? – було однозначно привабливішою опцією ) .
"
"Можливо , комусь ця думка здасться блюзнірчою , але якби на хвилинку спробувати уявити себе режисером того фільму , в якому всі ми , сім мільярдів « двоногих без пір’я » , складаємо всього-на-всього масовку , то доводиться визнати : « майданчики » для вироблення такого досвіду в обох випадках – і Чорнобиля , і Фукусіми – обрано таки не без сенсу .","Можливо , комусь ця думка здасться блюзнірчою , але якби на хвилинку спробувати уявити себе режисеркою того фільму , в якому всі ми , сім мільярдів « двоногих без пір’я » , складаємо всього-на-всього масовку , то доводиться визнати : « майданчики » для вироблення такого досвіду в обох випадках – і Чорнобиля , і Фукусіми – обрано таки не без сенсу .
"
"Аліна стоїть усередині однієї з веж художника Кіріко чи в Темній вежі Кінга , хто зна .","Микола стоїть усередині однієї з веж художниці Кіріко чи в Темній вежі Кінга , хто зна ."
"– Нині в оборонному відомстві вже окреслені головні кроки щодо посилення обороноздатності нашої держави , – резюмує заступник Міністра оборони України Іван Руснак .","– Нині в оборонному відомстві вже окреслені головні кроки щодо посилення обороноздатності нашої держави , – резюмує заступниця Міністра оборони України Марія Руснак ."
"Найзагадковіший письменник Гоголь , на перший погляд , зовсім відкритий .","Найзагадковіша письменниця Гоголь , на перший погляд , зовсім відкрита ."
М . Бердяєв придивився пильніше до Хлєстакова й розпізнав його в начальникові большевицького департаменту ( а він мав нагоду все те бачити зблизька ) .,М . Бердяєва придивилася пильніше до Хлєстакової й розпізнала її в начальниці большевицького департаменту ( а вона мала нагоду все те бачити зблизька ) .
"« Гоголь увесь зашифрований » , – сказав мені в Сибіру один геолог .","« Гоголь уся зашифрована » , – сказала мені в Сибіру одна геологиня ."
"Орнітологи ж – фахівці , які вивчають птахів , – вважають , що зараз у голубів відбувається щорічне загострення через різкі перепади температури .","Орнітологині ж – фахівчині , які вивчають птахів , – вважають , що зараз у голубів відбувається щорічне загострення через різкі перепади температури ."
"Правда , орнітологи зауважують , що цього року значний мор птиці спричинила рання весна .","Правда , орнітологині зауважують , що цього року значний мор птиці спричинила рання весна ."
"Після служби висипали на церковне подвір'я , стали з кошиками в коло , тоді вийшов священик , прочитав молитву і освятив те , що принесли люди .","Після служби висипали на церковне подвір'я , стали з кошиками в коло , тоді вийшла священиця , прочитала молитву і освятила те , що принесли люди ."
Дід Мартин відпустив свого поводиря разом з іншими додому — тобто до панотця .,Бабуся Мартина відпустила свою поводирку разом з іншими додому — тобто до панотця .
"Може , тому і під храм підгадували кобзарі свої цехові збори — сходку , щоб менше на них звертали увагу , щоб менше впадала в око велика кількість мандрівних сліпців .","Може , тому і під храм підгадували кобзарки свої цехові збори — сходку , щоб менше на них звертали увагу , щоб менше впадала в око велика кількість мандрівних сліпців ."
Таке пророцтво зробив американський священик Чарльз Лонг .,Таке пророцтво зробила американська священиця Тетяна Лонг .
"Минув місяць , відколи мене призначено на посаду начальника управління музейної справи і нормативно-методичного забезпечення переміщення культурних цінностей Міністерства культури України .","Минув місяць , відколи мене призначено на посаду начальниці управління музейної справи і нормативно-методичного забезпечення переміщення культурних цінностей Міністерства культури України ."
"Унаслідок зустрічей з музейниками , поїздок по областях , нарад із директорами національних закладів музейного типу , участі в засіданні колегії й музейної ради , після обміну досвідом із міністерствами культури Грузії й Польщі утвердився в думці , що головні проблеми галузі , якими треба займатися насамперед і вирішення яких автоматично закриє багато інших питань , – це менеджмент і комунікація .","Унаслідок зустрічей з музейницями , поїздок по областях , нарад із директорками національних закладів музейного типу , участі в засіданні колегії й музейної ради , після обміну досвідом із міністерствами культури Грузії й Польщі утвердилася в думці , що головні проблеми галузі , якими треба займатися насамперед і вирішення яких автоматично закриє багато інших питань , – це менеджмент і комунікація ."
"Але щойно запрацювала камера , невидима сила торкнулась її чола , актриса стала вищою , обличчя спалахнуло і вона — відповідно до ролі — узялася впевнено й насмішкувато закручувати навколо себе енергетику вибухового епізоду .","Але щойно запрацювала камера , невидима сила торкнулась його чола , актор став вищим , обличчя спалахнуло і він — відповідно до ролі — узявся впевнено й насмішкувато закручувати навколо себе енергетику вибухового епізоду ."
"А янголи Господні збираються десь там нагорі , як охоронці в супермаркетах , і регочуть із тебе , надриваючи животи біля своїх камер спостереження .","А янголи Господні збираються десь там нагорі , як охоронниці в супермаркетах , і регочуть із тебе , надриваючи животи біля своїх камер спостереження ."
""" Але ж , – запитаєте ви , – в церкві сповідаються перед священиком .",""" Але ж , – запитаєте ви , – в церкві сповідаються перед священицею ."
"До чиїх ніг нам падати ? "" Щоб таких питань не виникало , уважно дослухаймось до слів священика , якими він звертається до нас перед Сповіддю : "" Ось , чадо , Христос невидимо стоїть і приймає твою сповідь , а я тільки свідок , щоб свідчити перед Ним про все , що ти скажеш мені "" .","До чиїх ніг нам падати ? "" Щоб таких питань не виникало , уважно дослухаймось до слів священиці , якими вона звертається до нас перед Сповіддю : "" Ось , чадо , Христос невидимо стоїть і приймає твою сповідь , а я тільки свідок , щоб свідчити перед Ним про все , що ти скажеш мені "" ."
